seconds,BVP
0,-109.34
12,-102.8
24,-96.55
36,-90.06
48,-83.19
60,-76.59
72,-71.29
84,-68.04
96,-66.62
108,-65.74
120,-63.41
132,-57.67
144,-47.58
155,-33.58
166,-17.37
178,-1.16
190,13.32
202,25.33
214,35.14
226,43.44
238,50.55
250,56.1
262,59.18
274,59.0
286,55.53
298,49.71
310,43.07
322,37.14
334,32.9
345,30.52
356,29.56
368,29.31
380,29.18
392,28.91
404,28.64
416,28.85
428,30.17
440,33.18
452,38.08
464,44.48
476,51.32
488,57.12
500,60.45
512,60.49
524,57.44
535,52.54
546,47.6
558,44.31
570,43.55
582,45.0
594,47.46
606,49.47
618,50.2
630,49.79
642,49.35
654,50.33
666,53.89
678,60.36
690,69.21
702,79.11
714,88.21
725,94.31
736,95.35
748,89.98
760,78.23
772,61.54
784,42.18
796,22.09
808,2.12
820,-17.96
832,-38.43
844,-58.35
856,-75.01
868,-84.72
880,-84.53
892,-74.21
904,-56.98
915,-38.86
926,-26.83
938,-26.97
950,-43.12
962,-76.15
974,-123.53
986,-179.29
998,-234.77
1010,-280.03
1022,-306.4
1034,-309.08
1046,-288.79
1058,-251.44
1070,-205.9
1082,-160.72
1094,-121.5
1105,-89.82
1116,-64.19
1128,-42.57
1140,-24.63
1152,-12.93
1164,-12.0
1176,-25.75
1188,-54.27
1200,-91.87
1212,-127.96
1224,-150.81
1236,-152.79
1248,-133.97
1260,-101.95
1272,-67.65
1284,-39.6
1295,-20.0
1306,-4.89
1318,11.93
1330,33.85
1342,58.74
1354,80.22
1366,91.86
1378,91.22
1390,81.21
1402,68.21
1414,58.14
1426,53.57
1438,53.2
1450,53.64
1462,52.17
1474,48.39
1485,44.28
1496,43.06
1508,47.75
1520,59.62
1532,77.8
1544,99.52
1556,121.11
1568,139.11
1580,151.44
1592,157.86
1604,159.5
1616,158.65
1628,157.27
1640,156.45
1652,156.45
1664,157.2
1675,158.76
1686,161.5
1698,165.47
1710,169.3
1722,170.7
1734,166.42
1746,154.14
1758,134.1
1770,109.85
1782,86.95
1794,70.99
1806,64.96
1818,63.91
1830,61.43
1842,51.08
1854,30.21
1865,1.4
1876,-29.08
1888,-54.62
1900,-70.29
1912,-73.88
1924,-66.92
